Name,Province,Data
Luc Ngan District,Bac Giang Province,504
Son Dong District,Bac Giang Province,930
Bach Long Vi District,Hai Phong City,472
Con Co District,Quang Tri Province,374
Ba Dinh District,Ha Noi City,582
Hoan Kiem District,Ha Noi City,917
Tay Ho District,Ha Noi City,687
Long Bien District,Ha Noi City,894
Cau Giay District,Ha Noi City,787
Dong Da District,Ha Noi City,765
Dong Hy District,Thai Nguyen Province,986
Hai Ba Trung District,Ha Noi City,196
Hoang Mai District,Ha Noi City,742
Thanh Xuan District,Ha Noi City,257
Soc Son District,Ha Noi City,128
Dong Anh District,Ha Noi City,588
Gia Lam District,Ha Noi City,103
Luc Yen District,Yen Bai Province,711
Phu Xuyen District,Ha Noi City,178
Ung Hoa District,Ha Noi City,195
Ky Son District,Hoa Binh Province,542
Luong Son District,Hoa Binh Province,850
Bac Quang District,Ha Giang Province,737
Quang Binh District,Ha Giang Province,635
Muong Lat District,Thanh Hoa Province,172
Tran Yen District,Yen Bai Province,333
Dinh Hoa District,Thai Nguyen Province,117
Phu Yen District,Son La Province,895
Thanh Tri District,Ha Noi City,184
Lac Son District,Hoa Binh Province,648
Bac Ai District,Ninh Thuan Province,275
Ninh Son District,Ninh Thuan Province,943
Ninh Hai District,Ninh Thuan Province,292
Thuan Bac District,Ninh Thuan Province,928
Chau Thanh District,Tra Vinh Province,714
Song Ma District,Son La Province,946
Kim Thanh District,Hai Duong Province,395
Thanh Mien District,Hai Duong Province,936
Phu Ninh District,Phu Tho Province,115
Co To District,Quang Ninh Province,982
Bac Giang City,Bac Giang Province,534
Bim Son Town,Thanh Hoa Province,551
Sam Son City,Thanh Hoa Province,940
District 12,Ho Chi Minh City,205
Phu Tan District,An Giang Province,811
Tinh Bien District,An Giang Province,745
Thai Nguyen City,Thai Nguyen Province,761
Phu Luong District,Thai Nguyen Province,735
Yen The District,Bac Giang Province,667
Bien Hoa City,Dong Nai Province,516
Kien Tuong Town,Long An Province,405
Moc Hoa District,Long An Province,154
Phuc Tho District,Ha Noi City,660
Kien Thuy District,Hai Phong City,167
Thuy Nguyen District,Hai Phong City,389
Tra Bong District,Quang Ngai Province,161
Tay Tra District,Quang Ngai Province,463
Quang Ngai City,Quang Ngai Province,835
Son Tinh District,Quang Ngai Province,470
Hoang Su Phi District,Ha Giang Province,774
Xin Man District,Ha Giang Province,808
Nguyen Binh District,Cao Bang Province,715
Muong Te District,Lai Chau Province,701
Nam Nhun District,Lai Chau Province,912
Sin Ho District,Lai Chau Province,910
Phong Tho District,Lai Chau Province,479
Viet Tri City,Phu Tho Province,551
An Nhon Town,Binh Dinh Province,294
Cam My District,Dong Nai Province,396
Long Thanh District,Dong Nai Province,975
Thach An District,Cao Bang Province,279
U Minh District,Ca Mau Province,448
Thoi Binh District,Ca Mau Province,141
Pho Yen Town,Thai Nguyen Province,222
Phu Binh District,Thai Nguyen Province,236
Binh Gia District,Lang Son Province,492
Cu M'gar District,Dak Lak Province,845
Buon Ho Town,Dak Lak Province,290
Krong Buk District,Dak Lak Province,164
Yen Thanh District,Nghe An Province,458
Do Luong District,Nghe An Province,280
Bo Trach District,Quang Binh Province,384
Tan Uyen Town,Binh Duong Province,439
Bac Tan Uyen District,Binh Duong Province,410
Da Bac District,Hoa Binh Province,162
Mai Chau District,Hoa Binh Province,840
Cam Khe District,Phu Tho Province,206
Tam Nong District,Phu Tho Province,311
Khoai Chau District,Hung Yen Province,753
Kim Dong District,Hung Yen Province,246
Thach Thanh District,Thanh Hoa Province,879
An Lao District,Hai Phong City,526
Duong Kinh District,Hai Phong City,366
Vu Thu District,Thai Binh Province,919
Lam Thao District,Phu Tho Province,195
Go Cong Dong District,Tien Giang Province,906
Go Cong Town,Tien Giang Province,135
Rach Gia City,Kien Giang Province,812
Ha Tien Town,Kien Giang Province,748
Cho Lach District,Ben Tre Province,197
Mo Cay Bac District,Ben Tre Province,986
Qui Nhon City,Binh Dinh Province,400
Van Canh District,Binh Dinh Province,124
Tuy Hoa City,Phu Yen Province,895
Ha Quang District,Cao Bang Province,524
Ba Tri District,Ben Tre Province,563
Mo Cay Nam District,Ben Tre Province,745
Thot Not District,Can Tho City,257
Co Do District,Can Tho City,959
KBang District,Gia Lai Province,950
Nha Trang City,Khanh Hoa Province,517
Cao Loc District,Lang Son Province,329
Ba Vi District,Ha Noi City,811
Tra Linh District,Cao Bang Province,448
Trung Khanh District,Cao Bang Province,367
Huong Hoa District,Quang Tri Province,956
Gio Linh District,Quang Tri Province,725
Ky Son District,Nghe An Province,404
Ngo Quyen District,Hai Phong City,214
Ha Giang City,Ha Giang Province,904
Vi Xuyen District,Ha Giang Province,849
Thanh Thuy District,Phu Tho Province,917
Hoai Duc District,Ha Noi City,765
Quoc Oai District,Ha Noi City,632
Lang Chanh District,Thanh Hoa Province,581
Ngoc Lac District,Thanh Hoa Province,531
Thu Dau Mot City,Binh Duong Province,881
Phu Giao District,Binh Duong Province,944
Thuan An Town,Binh Duong Province,748
Trieu Phong District,Quang Tri Province,754
Hai Lang District,Quang Tri Province,736
Quang Tri Town,Quang Tri Province,940
Hue City,Thua Thien Hue Province,763
Phong Dien District,Thua Thien Hue Province,970
A Luoi District,Thua Thien Hue Province,619
Ham Thuan Nam District,Binh Thuan Province,791
Thu Duc District,Ho Chi Minh City,363
Ha Trung District,Thanh Hoa Province,323
Krong Pa District,Gia Lai Province,112
Phu Cat District,Binh Dinh Province,254
District 9,Ho Chi Minh City,591
Go Vap District,Ho Chi Minh City,969
Thuan Chau District,Son La Province,214
Muong La District,Son La Province,224
Bac Yen District,Son La Province,628
Kim Boi District,Hoa Binh Province,906
Lac Thuy District,Hoa Binh Province,280
Cao Phong District,Hoa Binh Province,161
Yen Phong District,Bac Ninh Province,366
Bac Ninh City,Bac Ninh Province,545
Que Vo District,Bac Ninh Province,259
Quan Son District,Thanh Hoa Province,758
Vinh Loc District,Thanh Hoa Province,292
Yen Dinh District,Thanh Hoa Province,311
Nong Cong District,Thanh Hoa Province,852
Quy Hop District,Nghe An Province,180
Quang Xuong District,Thanh Hoa Province,470
Yen Binh District,Yen Bai Province,701
Bat Xat District,Lao Cai Province,849
Muong Khuong District,Lao Cai Province,318
Si Ma Cai District,Lao Cai Province,327
Bac Ha District,Lao Cai Province,222
Huu Lung District,Lang Son Province,892
Chi Lang District,Lang Son Province,428
Son Ha District,Quang Ngai Province,668
Son Tay District,Quang Ngai Province,772
Hoai An District,Binh Dinh Province,635
Lien Chieu District,Da Nang City,553
Nong Son District,Quang Nam Province,544
Que Son District,Quang Nam Province,503
Nam Giang District,Quang Nam Province,141
Thanh Chuong District,Nghe An Province,533
Nghi Loc District,Nghe An Province,741
Quynh Luu District,Nghe An Province,211
Hoang Mai Town,Nghe An Province,519
Tuy Phuoc District,Binh Dinh Province,578
Pac Nam District,Bac Kan Province,819
Ba Be District,Bac Kan Province,529
Ngan Son District,Bac Kan Province,798
Muong Cha District,Dien Bien Province,468
Nam Po District,Dien Bien Province,527
Dien Bien Dong District,Dien Bien Province,530
Tua Chua District,Dien Bien Province,466
Mai Son District,Son La Province,441
Tien Phuoc District,Quang Nam Province,210
Bac Tra My District,Quang Nam Province,292
Tuong Duong District,Nghe An Province,650
Sa Dec City,Dong Thap Province,131
District 1,Ho Chi Minh City,537
Phu My District,Binh Dinh Province,897
Thu Thua District,Long An Province,984
Dong Son District,Thanh Hoa Province,490
Thanh Hoa City,Thanh Hoa Province,410
Tinh Gia District,Thanh Hoa Province,491
Lai Vung District,Dong Thap Province,373
Hong Bang District,Hai Phong City,701
Tu Son Town,Bac Ninh Province,670
Nho Quan District,Ninh Binh Province,535
Van Lang District,Lang Son Province,153
Le Chan District,Hai Phong City,145
Cat Hai District,Hai Phong City,424
Cho Don District,Bac Kan Province,525
Cho Moi District,Bac Kan Province,230
Hoa An District,Cao Bang Province,672
Cao Bang City,Cao Bang Province,971
Son Tay Town,Ha Noi City,685
Tu Ky District,Hai Duong Province,906
Ninh Giang District,Hai Duong Province,499
Thai Binh City,Thai Binh Province,843
Hai Hau District,Nam Dinh Province,983
Lam Binh District,Tuyen Quang Province,511
Na Hang District,Tuyen Quang Province,586
Chiem Hoa District,Tuyen Quang Province,975
Van Yen District,Yen Bai Province,557
Thanh Son District,Phu Tho Province,423
Tan Son District,Phu Tho Province,125
Tan Lac District,Hoa Binh Province,553
Binh Son District,Quang Ngai Province,860
Dong Hoa District,Phu Yen Province,372
Tay Hoa District,Phu Yen Province,173
Phu Hoa District,Phu Yen Province,700
Nam Tu Liem District,Ha Noi City,372
Bac Tu Liem District,Ha Noi City,571
Bac Me District,Ha Giang Province,592
Bao Lam District,Cao Bang Province,108
Bao Lac District,Cao Bang Province,739
Quang Yen Town,Quang Ninh Province,930
Uong Bi City,Quang Ninh Province,233
Hiep Hoa District,Bac Giang Province,669
Hau Loc District,Thanh Hoa Province,413
Cau Ngang District,Tra Vinh Province,679
Tra Cu District,Tra Vinh Province,946
Yen Son District,Tuyen Quang Province,285
Tuyen Quang City,Tuyen Quang Province,251
Son Duong District,Tuyen Quang Province,178
Tuan Giao District,Dien Bien Province,158
Muong Ang District,Dien Bien Province,701
Dien Bien District,Dien Bien Province,648
Hoang Hoa District,Thanh Hoa Province,149
Gia Binh District,Bac Ninh Province,283
Ben Luc District,Long An Province,525
Pleiku City,Gia Lai Province,699
Chau Thanh District,Tay Ninh Province,386
Cai Lay Town,Tien Giang Province,616
Kien Luong District,Kien Giang Province,655
Giong Rieng District,Kien Giang Province,757
Go Quao District,Kien Giang Province,805
Dong Phu District,Binh Phuoc Province,392
Vinh Bao District,Hai Phong City,382
Muong Nhe District,Dien Bien Province,593
Thong Nhat District,Dong Nai Province,940
Hoa Thanh District,Tay Ninh Province,516
An Duong District,Hai Phong City,141
Van Giang District,Hung Yen Province,377
Cam Thuy District,Thanh Hoa Province,649
Trieu Son District,Thanh Hoa Province,517
Phan Thiet City,Binh Thuan Province,482
Tuy Phong District,Binh Thuan Province,924
District 3,Ho Chi Minh City,999
Hon Quan District,Binh Phuoc Province,901
Can Loc District,Ha Tinh Province,969
Loc Ha District,Ha Tinh Province,238
Thach Ha District,Ha Tinh Province,913
Cam Xuyen District,Ha Tinh Province,979
Krong No District,Dak Nong Province,899
Nui Thanh District,Quang Nam Province,879
Nghia Hanh District,Quang Ngai Province,421
Mo Duc District,Quang Ngai Province,768
Duc Pho District,Quang Ngai Province,209
Go Cong Tay District,Tien Giang Province,479
Tan Phu Dong District,Tien Giang Province,923
Giang Thanh District,Kien Giang Province,201
Tan Hiep District,Kien Giang Province,847
Vinh City,Nghe An Province,339
Ky Anh Town,Ha Tinh Province,280
Ky Anh District,Ha Tinh Province,526
Cho Gao District,Tien Giang Province,128
Binh Tan District,Vinh Long Province,903
Binh Minh Town,Vinh Long Province,597
Tra On District,Vinh Long Province,593
Lap Vo District,Dong Thap Province,529
Thanh Binh District,Dong Thap Province,242
Tan Thanh District,Long An Province,523
Can Giuoc District,Long An Province,878
Thach That District,Ha Noi City,155
Do Son District,Hai Phong City,379
Tien Lang District,Hai Phong City,873
Yen Dung District,Bac Giang Province,381
Quang Uyen District,Cao Bang Province,693
Yen Lap District,Phu Tho Province,248
Dong Hoi City,Quang Binh Province,951
Minh Hoa District,Quang Binh Province,399
Tay Giang District,Quang Nam Province,704
Dai Loc District,Quang Nam Province,800
Ba Che District,Quang Ninh Province,218
Van Don District,Quang Ninh Province,464
Luc Nam District,Bac Giang Province,977
Hai Duong City,Hai Duong Province,536
Gia Loc District,Hai Duong Province,260
Phu Ly City,Ha Nam Province,527
Kim Bang District,Ha Nam Province,443
Thanh Liem District,Ha Nam Province,706
Dien Khanh District,Khanh Hoa Province,506
Ham Yen District,Tuyen Quang Province,568
Mu Cang Chai District,Yen Bai Province,563
Bac Kan City,Bac Kan Province,917
Lang Son City,Lang Son Province,266
Trang Dinh District,Lang Son Province,664
Phu Tho Town,Phu Tho Province,248
Doan Hung District,Phu Tho Province,731
Yen Mo District,Ninh Binh Province,446
Nghia Hung District,Nam Dinh Province,399
Thuong Tin District,Ha Noi City,691
Kinh Mon District,Hai Duong Province,231
Yen Thuy District,Hoa Binh Province,353
Tam Ky City,Quang Nam Province,153
Hoi An City,Quang Nam Province,542
Duy Xuyen District,Quang Nam Province,775
Quynh Nhai District,Son La Province,436
Bu Dang District,Binh Phuoc Province,205
Chon Thanh District,Binh Phuoc Province,642
Nam Dan District,Nghe An Province,710
Hung Nguyen District,Nghe An Province,127
Loc Binh District,Lang Son Province,942
Dinh Lap District,Lang Son Province,333
Tien Du District,Bac Ninh Province,442
Vinh Tuong District,Vinh Phuc Province,845
Ha Dong District,Ha Noi City,875
Kim Son District,Ninh Binh Province,673
Van Ban District,Lao Cai Province,162
Lai Chau City,Lai Chau Province,174
Dai Tu District,Thai Nguyen Province,510
Binh Dai District,Ben Tre Province,355
Ba Thuoc District,Thanh Hoa Province,590
Phu Rieng District,Binh Phuoc Province,611
Chau Thanh District,Soc Trang Province,428
Tam Binh District,Vinh Long Province,101
Da Huoai District,Lam Dong Province,821
Binh Xuyen District,Vinh Phuc Province,438
Tan Phuoc District,Tien Giang Province,200
Cai Be District,Tien Giang Province,485
Luong Tai District,Bac Ninh Province,559
Thong Nong District,Cao Bang Province,886
Bach Thong District,Bac Kan Province,412
Me Linh District,Ha Noi City,112
Yen Lac District,Vinh Phuc Province,577
Vinh Thanh District,Binh Dinh Province,904
Tay Son District,Binh Dinh Province,653
Khanh Son District,Khanh Hoa Province,843
Truong Sa District,Khanh Hoa Province,740
Phan Rang-Thap Cham City,Ninh Thuan Province,580
Vung Tau City,Ba Ria - Vung Tau Province,114
Ba Ria City,Ba Ria - Vung Tau Province,241
Chau Duc District,Ba Ria - Vung Tau Province,899
Xuyen Moc District,Ba Ria - Vung Tau Province,684
Ca Mau City,Ca Mau Province,647
Ninh Binh City,Ninh Binh Province,698
Ea H'leo District,Dak Lak Province,925
Thuan Thanh District,Bac Ninh Province,248
Dinh Quan District,Dong Nai Province,501
Nha Be District,Ho Chi Minh City,558
Can Gio District,Ho Chi Minh City,357
Tan An City,Long An Province,602
Phu Cu District,Hung Yen Province,165
Hung Ha District,Thai Binh Province,367
Vinh Hung District,Long An Province,987
Chau Thanh District,Kien Giang Province,643
Thai Hoa Town,Nghe An Province,208
Nghia Dan District,Nghe An Province,288
Dan Phuong District,Ha Noi City,657
Yen Bai City,Yen Bai Province,221
Lao Cai City,Lao Cai Province,799
Dien Bien Phu City,Dien Bien Province,182
Muong Lay Town,Dien Bien Province,722
Nghia Lo Town,Yen Bai Province,421
Bac Son District,Lang Son Province,642
Tan Chau Town,An Giang Province,747
Quang Trach District,Quang Binh Province,508
Ba Don Town,Quang Binh Province,432
Huong Thuy Town,Thua Thien Hue Province,959
Huong Tra Town,Thua Thien Hue Province,145
Thang Binh District,Quang Nam Province,270
Nam Tra My District,Quang Nam Province,189
Mong Cai City,Quang Ninh Province,403
Lang Giang District,Bac Giang Province,600
Bac Binh District,Binh Thuan Province,725
Ham Thuan Bac District,Binh Thuan Province,247
Dak Doa District,Gia Lai Province,105
Ha Lang District,Cao Bang Province,171
Yen My District,Hung Yen Province,262
My Hao District,Hung Yen Province,591
Binh Luc District,Ha Nam Province,921
Ly Nhan District,Ha Nam Province,634
Da Krong District,Quang Tri Province,889
Hong Linh Town,Ha Tinh Province,919
Huong Son District,Ha Tinh Province,200
Khanh Vinh District,Khanh Hoa Province,320
My Duc District,Ha Noi City,871
Hoanh Bo District,Quang Ninh Province,607
Dong Trieu Town,Quang Ninh Province,119
Song Cong City,Thai Nguyen Province,222
Vo Nhai District,Thai Nguyen Province,175
Than Uyen District,Lai Chau Province,323
Son La City,Son La Province,864
Bac Lieu City,Bac Lieu Province,163
Hong Dan District,Bac Lieu Province,272
Chau Thanh District,Hau Giang Province,997
Phung Hiep District,Hau Giang Province,227
An Thi District,Hung Yen Province,847
Tien Hai District,Thai Binh Province,577
Kien Xuong District,Thai Binh Province,510
Thanh Oai District,Ha Noi City,212
Hung Yen City,Hung Yen Province,439
Hon Dat District,Kien Giang Province,746
Phuc Hoa District,Cao Bang Province,254
Tam Diep City,Ninh Binh Province,379
Dam Ha District,Quang Ninh Province,715
Cam Pha City,Quang Ninh Province,512
Quynh Phu District,Thai Binh Province,920
Hoa Binh City,Hoa Binh Province,668
Duy Tien District,Ha Nam Province,403
Binh Tan District,Ho Chi Minh City,156
District 7,Ho Chi Minh City,562
Meo Vac District,Ha Giang Province,433
Yen Minh District,Ha Giang Province,173
Dak Song District,Dak Nong Province,630
Tuy Duc District,Dak Nong Province,840
District 5,Ho Chi Minh City,610
Xuan Truong District,Nam Dinh Province,323
Giao Thuy District,Nam Dinh Province,796
Tan Ky District,Nghe An Province,349
Dien Chau District,Nghe An Province,541
Tam Duong District,Lai Chau Province,986
Quan Hoa District,Thanh Hoa Province,411
District 11,Ho Chi Minh City,451
Cai Lay District,Tien Giang Province,330
Ea Sup District,Dak Lak Province,167
Tien Yen District,Quang Ninh Province,907
Na Ri District,Bac Kan Province,905
Anh Son District,Nghe An Province,987
Nhu Thanh District,Thanh Hoa Province,770
Buon Ma Thuot City,Dak Lak Province,752
Tan Uyen District,Lai Chau Province,690
Gia Vien District,Ninh Binh Province,307
Bao Yen District,Lao Cai Province,177
Sa Pa District,Lao Cai Province,797
Chau Phu District,An Giang Province,129
Ham Tan District,Binh Thuan Province,609
Duc Linh District,Binh Thuan Province,836
Quang Dien District,Thua Thien Hue Province,129
Binh Giang District,Hai Duong Province,543
Son Hoa District,Phu Yen Province,110
Tien Lu District,Hung Yen Province,795
Phuoc Long District,Bac Lieu Province,913
Tan Hung District,Long An Province,869
Phu Vang District,Thua Thien Hue Province,400
Cam Ranh City,Khanh Hoa Province,943
Cam Lam District,Khanh Hoa Province,169
Ha Hoa District,Phu Tho Province,891
Chuong My District,Ha Noi City,415
Mang Yang District,Gia Lai Province,849
Phuoc Son District,Quang Nam Province,427
Tu Nghia District,Quang Ngai Province,984
Tho Xuan District,Thanh Hoa Province,151
Thuong Xuan District,Thanh Hoa Province,770
Tan Thanh District,Ba Ria - Vung Tau Province,485
La Gi Town,Binh Thuan Province,989
Phu Loc District,Thua Thien Hue Province,882
Nam Dong District,Thua Thien Hue Province,142
Yen Khanh District,Ninh Binh Province,886
Dong Van District,Ha Giang Province,404
Tan Hong District,Dong Thap Province,847
Krong Bong District,Dak Lak Province,678
Krong Pac District,Dak Lak Province,640
Duyen Hai District,Tra Vinh Province,763
Ha Long City,Quang Ninh Province,648
Moc Chau District,Son La Province,695
Van Ho District,Son La Province,534
Yen Chau District,Son La Province,563
Tan Yen District,Bac Giang Province,546
Quan Ba District,Ha Giang Province,450
Bao Thang District,Lao Cai Province,327
Nghi Xuan District,Ha Tinh Province,952
Nam Dinh City,Nam Dinh Province,192
My Loc District,Nam Dinh Province,638
Vu Ban District,Nam Dinh Province,846
Sop Cop District,Son La Province,197
Huong Khe District,Ha Tinh Province,586
Dau Tieng District,Binh Duong Province,313
Duc Tho District,Ha Tinh Province,411
Thanh Hoa District,Long An Province,401
Duc Hue District,Long An Province,639
Vinh Linh District,Quang Tri Province,978
Bu Gia Map District,Binh Phuoc Province,656
Phuoc Long Town,Binh Phuoc Province,449
Phu Qui District,Binh Thuan Province,842
Kon Tum City,Kon Tum Province,194
Trang Bom District,Dong Nai Province,868
Ben Cat Town,Binh Duong Province,909
Bau Bang District,Binh Duong Province,124
Hong Ngu District,Dong Thap Province,452
Hong Ngu Town,Dong Thap Province,397
Chau Thanh A District,Hau Giang Province,491
Thoi Lai District,Can Tho City,255
Giong Trom District,Ben Tre Province,988
Hai Ha District,Quang Ninh Province,148
Cu Chi District,Ho Chi Minh City,941
Tram Tau District,Yen Bai Province,669
Van Chan District,Yen Bai Province,916
Van Lam District,Hung Yen Province,593
Dong Hung District,Thai Binh Province,323
Dak Glei District,Kon Tum Province,162
Ngoc Hoi District,Kon Tum Province,668
Dak To District,Kon Tum Province,606
Tu Mo Rong District,Kon Tum Province,191
Van Quan District,Lang Son Province,603
Binh Lieu District,Quang Ninh Province,423
Thanh Ba District,Phu Tho Province,224
Nam Sach District,Hai Duong Province,203
Chi Linh Town,Hai Duong Province,343
District 8,Ho Chi Minh City,653
Binh Chanh District,Ho Chi Minh City,584
Tan Tru District,Long An Province,188
District 6,Ho Chi Minh City,504
Bu Dop District,Binh Phuoc Province,999
Le Thuy District,Quang Binh Province,542
Di An Town,Binh Duong Province,546
Phu Ninh District,Quang Nam Province,123
Soc Trang City,Soc Trang Province,571
Ke Sach District,Soc Trang Province,829
Long Phu District,Soc Trang Province,240
Tran De District,Soc Trang Province,325
Chau Thanh District,Ben Tre Province,957
Phu Thien District,Gia Lai Province,803
Ayun Pa Town,Gia Lai Province,985
Duyen Hai Town,Tra Vinh Province,342
Tri Ton District,An Giang Province,334
Krong Nang District,Dak Lak Province,140
Viet Yen District,Bac Giang Province,706
Buon Don District,Dak Lak Province,789
Quang Ninh District,Quang Binh Province,380
Ia H' Drai District,Kon Tum Province,518
Sa Thay District,Kon Tum Province,996
Go Dau District,Tay Ninh Province,638
Tam Duong District,Vinh Phuc Province,945
Tam Dao District,Vinh Phuc Province,788
Vinh Yen City,Vinh Phuc Province,956
Phuc Yen Town,Vinh Phuc Province,533
Lap Thach District,Vinh Phuc Province,695
Song Lo District,Vinh Phuc Province,554
Dien Ban Town,Quang Nam Province,337
Dak R'Lap District,Dak Nong Province,289
Vinh Thuan District,Kien Giang Province,555
U Minh Thuong District,Kien Giang Province,995
Loc Ninh District,Binh Phuoc Province,743
Long My Town,Hau Giang Province,384
Long My District,Hau Giang Province,399
Van Ninh District,Khanh Hoa Province,338
Ninh Hoa Town,Khanh Hoa Province,493
Ben Tre City,Ben Tre Province,665
Chu Pah District,Gia Lai Province,822
Ia Grai District,Gia Lai Province,788
Thanh Ha District,Hai Duong Province,573
Cam Giang District,Hai Duong Province,219
Dong Xuan District,Phu Yen Province,316
Tuy An District,Phu Yen Province,475
Da Lat City,Lam Dong Province,483
Cao Lanh District,Dong Thap Province,607
Chau Thanh District,Dong Thap Province,615
Long Xuyen City,An Giang Province,204
An Phu District,An Giang Province,603
An Bien District,Kien Giang Province,572
An Minh District,Kien Giang Province,625
Can Duoc District,Long An Province,840
Hoa Binh District,Bac Lieu Province,476
Gia Rai Town,Bac Lieu Province,197
Vi Thuy District,Hau Giang Province,780
Y Yen District,Nam Dinh Province,210
Dam Doi District,Ca Mau Province,463
Thanh Khe District,Da Nang City,232
Hai Chau District,Da Nang City,318
Cam Le District,Da Nang City,555
Son Tra District,Da Nang City,815
Ngu Hanh Son District,Da Nang City,688
Hoa Vang District,Da Nang City,655
Vinh Long City,Vinh Long Province,693
Chu Se District,Gia Lai Province,151
Thai Thuy District,Thai Binh Province,497
Nam Truc District,Nam Dinh Province,212
Truc Ninh District,Nam Dinh Province,271
Cat Tien District,Lam Dong Province,748
Hai An District,Hai Phong City,963
Kien An District,Hai Phong City,587
Dong Giang District,Quang Nam Province,890
Cua Lo Town,Nghe An Province,177
Que Phong District,Nghe An Province,501
Quy Chau District,Nghe An Province,939
Long Khanh Town,Dong Nai Province,685
Cai Rang District,Can Tho City,438
Vinh Thanh District,Can Tho City,312
Duc Co District,Gia Lai Province,579
Chu Prong District,Gia Lai Province,995
Chu Puh District,Gia Lai Province,268
Dong Xoai Town,Binh Phuoc Province,521
Binh Long Town,Binh Phuoc Province,156
Tan Bien District,Tay Ninh Province,812
Hoa Lu District,Ninh Binh Province,787
Phu Quoc District,Kien Giang Province,104
Kien Hai District,Kien Giang Province,856
Thieu Hoa District,Thanh Hoa Province,332
Nga Son District,Thanh Hoa Province,496
Nhu Xuan District,Thanh Hoa Province,257
Vu Quang District,Ha Tinh Province,271
Cam Lo District,Quang Tri Province,270
District 10,Ho Chi Minh City,738
District 4,Ho Chi Minh City,912
Song Hinh District,Phu Yen Province,507
Xuan Loc District,Dong Nai Province,363
Cu Kuin District,Dak Lak Province,960
Krong A Na District,Dak Lak Province,460
Lak District,Dak Lak Province,216
Dam Rong District,Lam Dong Province,864
Lam Ha District,Lam Dong Province,909
Don Duong District,Lam Dong Province,985
Tan Phu District,Ho Chi Minh City,228
Phu Nhuan District,Ho Chi Minh City,202
Chau Thanh District,Tien Giang Province,828
My Tu District,Soc Trang Province,897
Chau Thanh District,An Giang Province,898
Cang Long District,Tra Vinh Province,223
Cau Ke District,Tra Vinh Province,859
Tieu Can District,Tra Vinh Province,183
Con Cuong District,Nghe An Province,137
Trang Bang District,Tay Ninh Province,107
Kong Chro District,Gia Lai Province,127
Tay Ninh City,Tay Ninh Province,582
District 2,Ho Chi Minh City,255
Da Teh District,Lam Dong Province,250
Tuyen Hoa District,Quang Binh Province,955
Ha Tinh City,Ha Tinh Province,476
Dong Ha City,Quang Tri Province,852
Tanh Linh District,Binh Thuan Province,778
Chau Thanh District,Long An Province,435
My Tho City,Tien Giang Province,790
Minh Long District,Quang Ngai Province,213
Tran Van Thoi District,Ca Mau Province,857
Cai Nuoc District,Ca Mau Province,110
Long Ho District,Vinh Long Province,711
Tan Phu District,Dong Nai Province,906
Thanh Phu District,Ben Tre Province,262
Mang Thit District,Vinh Long Province,498
Hiep Duc District,Quang Nam Province,119
Ba To District,Quang Ngai Province,349
Ly Son District,Quang Ngai Province,648
An Lao District,Binh Dinh Province,529
Hoai Nhon District,Binh Dinh Province,116
Thuan Nam District,Ninh Thuan Province,599
Ninh Phuoc District,Ninh Thuan Province,252
Vinh Cuu District,Dong Nai Province,318
Song Cau Town,Phu Yen Province,679
Tra Vinh City,Tra Vinh Province,850
Ea Kar District,Dak Lak Province,671
Tan Chau District,Tay Ninh Province,596
Duong Minh Chau District,Tay Ninh Province,652
Nhon Trach District,Dong Nai Province,837
Cao Lanh City,Dong Thap Province,968
Cho Moi District,An Giang Province,262
Kon Plong District,Kon Tum Province,341
Duc Hoa District,Long An Province,697
Tam Nong District,Dong Thap Province,230
Thap Muoi District,Dong Thap Province,947
M'Drak District,Dak Lak Province,390
Ben Cau District,Tay Ninh Province,560
Thoai Son District,An Giang Province,355
Kon Ray District,Kon Tum Province,280
Dak Ha District,Kon Tum Province,607
An Khe Town,Gia Lai Province,893
Di Linh District,Lam Dong Province,115
Ninh Kieu District,Can Tho City,227
O Mon District,Can Tho City,799
Binh Thuy District,Can Tho City,265
Bao Lam District,Lam Dong Province,159
Dak Po District,Gia Lai Province,357
Ia Pa District,Gia Lai Province,455
Gia Nghia Town,Dak Nong Province,283
Dak Glong District,Dak Nong Province,640
Cu Jut District,Dak Nong Province,865
Dak Mil District,Dak Nong Province,310
Bao Loc City,Lam Dong Province,361
Lac Duong District,Lam Dong Province,421
Duc Trong District,Lam Dong Province,667
Long Dien District,Ba Ria - Vung Tau Province,646
Dat Do District,Ba Ria - Vung Tau Province,951
Binh Thanh District,Ho Chi Minh City,613
Tan Binh District,Ho Chi Minh City,404
My Xuyen District,Soc Trang Province,175
Hoc Mon District,Ho Chi Minh City,685
Chau Doc City,An Giang Province,789
Vung Liem District,Vinh Long Province,420
Phong Dien District,Can Tho City,322
Vi Thanh City,Hau Giang Province,839
Nga Bay Town,Hau Giang Province,813
Cu Lao Dung District,Soc Trang Province,820
Nga Nam Town,Soc Trang Province,927
Thanh Tri District,Soc Trang Province,909
Vinh Chau Town,Soc Trang Province,236
Vinh Loi District,Bac Lieu Province,749
Dong Hai District,Bac Lieu Province,660
Nam Can District,Ca Mau Province,547
Phu Tan District,Ca Mau Province,128
Ngoc Hien District,Ca Mau Province,820
Con Dao District,Ba Ria - Vung Tau Province,865
Hoang Sa District,Da Nang City,901
